round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,2.357845,0.619059,0.619059,0.619059,0.619059,0.254093,0.315655,0.276099,0.399995,0.619059,0.48102
2,1.136355,0.626402,0.626402,0.626402,0.626402,0.418865,0.330204,0.282592,0.741984,0.626402,0.486554
3,0.653087,0.703828,0.703828,0.703828,0.703828,0.5947,0.388134,0.384762,0.78233,0.703828,0.635166
4,0.489897,0.96842,0.96842,0.96842,0.96842,0.646704,0.551142,0.569013,0.948088,0.96842,0.956073
5,0.349507,0.968596,0.968596,0.968596,0.968596,0.64644,0.53453,0.547554,0.948243,0.968596,0.955461
6,0.281104,0.970544,0.970544,0.970544,0.970544,0.646932,0.551991,0.569485,0.950014,0.970544,0.958146
7,0.251684,0.971297,0.971297,0.971297,0.971297,0.647395,0.563315,0.582377,0.950661,0.971297,0.959288
8,0.306162,0.967487,0.967487,0.967487,0.967487,0.643697,0.517466,0.520571,0.947416,0.967487,0.953403
9,0.26538,0.968858,0.968858,0.968858,0.968858,0.648269,0.525536,0.535422,0.948441,0.968858,0.955185
10,0.224869,0.97117,0.97117,0.97117,0.97117,0.648128,0.560195,0.579232,0.950572,0.97117,0.959057
11,0.208405,0.970492,0.970492,0.970492,0.970492,0.646146,0.548153,0.564413,0.950032,0.970492,0.957948
12,0.183534,0.970402,0.970402,0.970402,0.970402,0.645836,0.546477,0.562183,0.949913,0.970402,0.957776
13,0.161281,0.971267,0.971267,0.971267,0.971267,0.64672,0.56064,0.57907,0.950675,0.971267,0.959174
14,0.194882,0.970265,0.970265,0.970265,0.970265,0.645951,0.545065,0.560471,0.949851,0.970265,0.957597
15,0.163465,0.971454,0.971454,0.971454,0.971454,0.6476,0.563892,0.582759,0.950875,0.971454,0.959466
16,0.147366,0.970985,0.970985,0.970985,0.970985,0.646946,0.555887,0.573665,0.95048,0.970985,0.958732
17,0.171042,0.971262,0.971262,0.971262,0.971262,0.647111,0.560904,0.579411,0.950705,0.971262,0.959182
18,0.139953,0.972571,0.972571,0.972571,0.972571,0.646604,0.583309,0.601889,0.951722,0.972571,0.961088
19,0.123161,0.972341,0.972341,0.972341,0.972341,0.646996,0.578947,0.597879,0.95152,0.972341,0.960751
20,0.137584,0.972397,0.972397,0.972397,0.972397,0.646493,0.58018,0.598981,0.951582,0.972397,0.960847
21,0.164309,0.972293,0.972293,0.972293,0.972293,0.646937,0.578568,0.597555,0.95152,0.972293,0.960707
22,0.096165,0.972962,0.972962,0.972962,0.972962,0.643174,0.59026,0.606363,0.952146,0.972962,0.961654
23,0.09566,0.973133,0.973133,0.973133,0.973133,0.642588,0.593846,0.60923,0.952291,0.973133,0.961897
24,0.079198,0.97289,0.97289,0.97289,0.97289,0.643862,0.588806,0.605228,0.952167,0.97289,0.961566
25,0.094344,0.972695,0.972695,0.972695,0.972695,0.643773,0.584978,0.601842,0.951962,0.972695,0.961284
26,0.112482,0.971822,0.971822,0.971822,0.971822,0.644942,0.569616,0.587352,0.951141,0.971822,0.959995
27,0.100949,0.97212,0.97212,0.97212,0.97212,0.644775,0.575274,0.592901,0.951548,0.97212,0.960488
28,0.104434,0.972211,0.972211,0.972211,0.972211,0.644936,0.576755,0.594394,0.951595,0.972211,0.960608
29,0.103545,0.972654,0.972654,0.972654,0.972654,0.643947,0.584118,0.601125,0.951902,0.972654,0.961216
30,0.094317,0.973153,0.973153,0.973153,0.973153,0.643562,0.593313,0.609032,0.952327,0.973153,0.9619
