round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
121,84,808,10.556,141.555,1.0,0.0045,1.0,0.000463
121,79,3472,66.953,48.196,1.0,0.0831,1.0,0.008634
121,83,4357,86.657,76.579,1.0,0.0677,1.0,0.007033
121,29,3113,32.807,81.493,1.0,0.0241,1.0,0.002502
121,35,683,80.734,84.92,1.0,0.0569,1.0,0.005908
121,23,1483,14.265,80.142,1.0,0.0106,1.0,0.001106
121,97,376,47.509,88.82,1.0,0.032,1.0,0.003324
121,25,132,47.29,23.406,1.0,0.1208,1.0,0.012556
121,21,424,60.407,148.878,1.0,0.0243,1.0,0.002522
121,19,411,43.694,116.931,1.0,0.0223,1.0,0.002322
121,41,1043,38.477,11.468,1.0,0.2007,1.0,0.020852
121,42,226,75.889,135.53,1.0,0.0335,1.0,0.00348
121,14,1317,75.351,7.451,1.0,0.6048,1.0,0.06285
121,5,397,76.762,114.282,1.0,0.0402,1.0,0.004174
121,18,2841,39.186,8.936,1.0,0.2623,1.0,0.027252
121,30,590,85.405,5.968,1.0,0.8559,1.0,0.088938
121,45,900,61.368,118.613,1.0,0.0309,1.0,0.003215
121,3,104,61.582,81.631,1.0,0.0451,1.0,0.004688
121,82,741,80.673,118.95,1.0,0.0406,1.0,0.004215
121,7,601,42.657,91.017,1.0,0.028,1.0,0.002913
121,36,638,47.698,137.695,1.0,0.0207,1.0,0.002153
121,2,12078,21.031,42.426,1.0,0.0296,1.0,0.003081
121,49,480,35.477,136.986,1.0,0.0155,1.0,0.00161
121,73,313,73.21,92.538,1.0,0.0473,1.0,0.004917
121,38,1345,76.284,7.671,1.0,0.5948,1.0,0.061805
121,67,333,58.937,127.004,1.0,0.0278,1.0,0.002884
121,89,2871,68.182,92.167,1.0,0.0442,1.0,0.004597
121,51,179,98.694,83.761,1.0,0.0705,1.0,0.007323
121,43,1353,13.989,73.407,1.0,0.0114,1.0,0.001184
121,52,546,31.57,119.36,1.0,0.0158,1.0,0.001644
121,8,431,80.868,125.882,1.0,0.0384,1.0,0.003992
121,56,2557,94.929,128.443,1.0,0.0442,1.0,0.004593
121,62,1852,85.471,105.361,1.0,0.0485,1.0,0.005042
121,32,1443,90.494,80.505,1.0,0.0672,1.0,0.006986
121,31,874,54.337,48.988,1.0,0.0663,1.0,0.006893
121,95,1166,87.236,44.882,1.0,0.1162,1.0,0.01208
121,24,1188,93.136,105.459,1.0,0.0528,1.0,0.005489
121,53,2420,58.731,137.43,1.0,0.0256,1.0,0.002656
121,66,366,87.039,96.68,1.0,0.0538,1.0,0.005595
121,94,539,21.47,15.183,1.0,0.0846,1.0,0.008788
121,86,1201,69.326,73.457,1.0,0.0564,1.0,0.005865
