round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
91,1.911119,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
92,1.954033,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
93,1.996186,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
94,2.050647,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
95,2.087285,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
96,2.156536,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
97,2.177652,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
98,2.261261,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
99,2.276437,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
100,2.363042,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
101,2.362872,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
102,2.469636,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
103,2.469455,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
104,2.547411,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
105,2.556903,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
106,2.653065,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
107,2.674305,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
108,2.735646,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
109,2.778565,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
110,2.841984,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
111,2.86068,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
112,2.932048,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
113,2.934099,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
114,3.025715,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
115,3.001264,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
116,3.08693,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
117,3.065905,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
118,3.061698,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
119,3.060371,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
120,3.042399,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
