round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
1,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
1,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
1,25,3116,47.29,23.406,1.0,0.1208,1.0,0.022481
1,15,1143,71.575,72.905,1.0,0.0587,1.0,0.010924
1,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
1,30,12638022,85.405,5.968,1.0,0.8559,1.0,0.159234
1,22,3788,94.914,80.884,1.0,0.0702,1.0,0.013057
1,36,3229,47.698,137.695,1.0,0.0207,1.0,0.003854
1,41,2417597,38.477,11.468,1.0,0.2007,1.0,0.037334
1,31,7620607,54.337,48.988,1.0,0.0663,1.0,0.012342
1,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
1,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
1,33,65074,29.196,27.204,1.0,0.0642,1.0,0.011942
1,16,1121,37.811,132.576,1.0,0.0171,1.0,0.003173
1,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
1,18,3035969,39.186,8.936,1.0,0.2623,1.0,0.048791
1,3,448,61.582,81.631,1.0,0.0451,1.0,0.008394
1,27,1378832,62.234,81.394,1.0,0.0457,1.0,0.008508
1,20,11515,64.839,113.427,1.0,0.0342,1.0,0.00636
1,39,4269318,49.07,35.686,1.0,0.0822,1.0,0.0153
1,46,7112780,28.562,106.962,1.0,0.016,1.0,0.002971
1,37,8874,92.764,15.385,1.0,0.3606,1.0,0.067088
1,2,67565,21.031,42.426,1.0,0.0296,1.0,0.005516
1,47,12745,61.82,116.641,1.0,0.0317,1.0,0.005897
1,40,4232,99.787,128.944,1.0,0.0463,1.0,0.008611
1,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
1,0,736461,79.656,68.637,1.0,0.0694,1.0,0.012913
1,23,8086,14.265,80.142,1.0,0.0106,1.0,0.001981
1,14,2133,75.351,7.451,1.0,0.6048,1.0,0.112526
1,48,6128,43.51,103.875,1.0,0.0251,1.0,0.004661
1,19,1516,43.694,116.931,1.0,0.0223,1.0,0.004158
1,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
1,44,5280,65.392,30.426,1.0,0.1285,1.0,0.023914
1,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
1,12,2803244,30.021,80.194,1.0,0.0224,1.0,0.004165
1,7,4444,42.657,91.017,1.0,0.028,1.0,0.005215
1,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
1,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
1,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
1,13,3066,84.903,131.244,1.0,0.0387,1.0,0.007198
1,29,4003207,32.807,81.493,1.0,0.0241,1.0,0.004479
1,35,3401789,80.734,84.92,1.0,0.0569,1.0,0.010578
1,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
1,49,10971,35.477,136.986,1.0,0.0155,1.0,0.002882
1,28,21888,44.266,109.952,1.0,0.0241,1.0,0.00448
1,1,6809,68.707,11.347,1.0,0.3621,1.0,0.067371
1,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
1,17,6637,62.897,124.78,1.0,0.0301,1.0,0.005609
1,34,3364701,82.57,147.901,1.0,0.0334,1.0,0.006212
1,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
2,46,7112780,28.562,106.962,1.0,0.016,1.0,0.002971
2,31,7620607,54.337,48.988,1.0,0.0663,1.0,0.012342
2,45,15733,61.368,118.613,1.0,0.0309,1.0,0.005757
2,1,6809,68.707,11.347,1.0,0.3621,1.0,0.067371
2,36,3229,47.698,137.695,1.0,0.0207,1.0,0.003854
2,6,3154644,44.893,91.387,1.0,0.0294,1.0,0.005466
2,29,4003207,32.807,81.493,1.0,0.0241,1.0,0.004479
2,17,6637,62.897,124.78,1.0,0.0301,1.0,0.005609
2,25,3116,47.29,23.406,1.0,0.1208,1.0,0.022481
2,37,8874,92.764,15.385,1.0,0.3606,1.0,0.067088
2,23,8086,14.265,80.142,1.0,0.0106,1.0,0.001981
2,42,12981,75.889,135.53,1.0,0.0335,1.0,0.00623
2,40,4232,99.787,128.944,1.0,0.0463,1.0,0.008611
2,20,11515,64.839,113.427,1.0,0.0342,1.0,0.00636
2,3,448,61.582,81.631,1.0,0.0451,1.0,0.008394
2,24,1132,93.136,105.459,1.0,0.0528,1.0,0.009827
2,43,753030,13.989,73.407,1.0,0.0114,1.0,0.00212
2,18,3035969,39.186,8.936,1.0,0.2623,1.0,0.048791
2,13,3066,84.903,131.244,1.0,0.0387,1.0,0.007198
2,28,21888,44.266,109.952,1.0,0.0241,1.0,0.00448
2,32,35765,90.494,80.505,1.0,0.0672,1.0,0.012508
2,27,1378832,62.234,81.394,1.0,0.0457,1.0,0.008508
2,5,4487,76.762,114.282,1.0,0.0402,1.0,0.007474
2,47,12745,61.82,116.641,1.0,0.0317,1.0,0.005897
2,35,3401789,80.734,84.92,1.0,0.0569,1.0,0.010578
2,39,4269318,49.07,35.686,1.0,0.0822,1.0,0.0153
2,4,8012344,91.504,16.198,1.0,0.3379,1.0,0.062857
2,21,11853,60.407,148.878,1.0,0.0243,1.0,0.004515
2,0,736461,79.656,68.637,1.0,0.0694,1.0,0.012913
2,33,65074,29.196,27.204,1.0,0.0642,1.0,0.011942
2,9,11139791,94.82,49.535,1.0,0.1145,1.0,0.021299
2,2,67565,21.031,42.426,1.0,0.0296,1.0,0.005516
2,44,5280,65.392,30.426,1.0,0.1285,1.0,0.023914
2,26,4061549,53.593,128.007,1.0,0.025,1.0,0.004658
2,38,7869131,76.284,7.671,1.0,0.5948,1.0,0.110655
2,8,1291433,80.868,125.882,1.0,0.0384,1.0,0.007148
2,10,8242750,65.419,88.263,1.0,0.0443,1.0,0.008247
2,11,20020,11.001,109.242,1.0,0.006,1.0,0.001121
2,22,3788,94.914,80.884,1.0,0.0702,1.0,0.013057
2,48,6128,43.51,103.875,1.0,0.0251,1.0,0.004661
2,12,2803244,30.021,80.194,1.0,0.0224,1.0,0.004165
2,30,12638022,85.405,5.968,1.0,0.8559,1.0,0.159234
