round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.55391,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
2,0.065364,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
3,0.029902,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
4,0.027559,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
5,0.026768,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
6,0.026126,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
7,0.025921,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
8,0.026041,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
9,0.025137,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
10,0.025246,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
11,0.02535,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
12,0.025383,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
13,0.025585,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
14,0.025611,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
15,0.025809,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
16,0.025691,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
17,0.025395,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
18,0.026229,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
19,0.024809,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
20,0.027304,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
21,0.024593,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
22,0.028565,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
23,0.024607,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
24,0.029294,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
25,0.024824,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
26,0.030309,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
27,0.024857,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
28,0.030926,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
29,0.024956,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
30,0.031919,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
