round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
122,15,751,71.575,72.905,1.0,0.0587,1.0,0.006101
122,95,1166,87.236,44.882,1.0,0.1162,1.0,0.01208
122,69,2603,23.83,29.549,1.0,0.0482,1.0,0.005012
122,14,1317,75.351,7.451,1.0,0.6048,1.0,0.06285
122,81,3468,71.412,12.804,1.0,0.3336,1.0,0.034661
122,96,4682,61.581,118.886,1.0,0.031,1.0,0.003219
122,74,508,25.513,132.154,1.0,0.0115,1.0,0.0012
122,98,359,70.086,95.096,1.0,0.0441,1.0,0.00458
122,89,2871,68.182,92.167,1.0,0.0442,1.0,0.004597
122,6,331,44.893,91.387,1.0,0.0294,1.0,0.003053
122,4,163,91.504,16.198,1.0,0.3379,1.0,0.035108
122,36,638,47.698,137.695,1.0,0.0207,1.0,0.002153
122,3,104,61.582,81.631,1.0,0.0451,1.0,0.004688
122,67,333,58.937,127.004,1.0,0.0278,1.0,0.002884
122,88,484,50.795,16.315,1.0,0.1862,1.0,0.019349
122,62,1852,85.471,105.361,1.0,0.0485,1.0,0.005042
122,26,1079,53.593,128.007,1.0,0.025,1.0,0.002602
122,77,743,96.062,111.156,1.0,0.0517,1.0,0.005371
122,51,179,98.694,83.761,1.0,0.0705,1.0,0.007323
122,27,600,62.234,81.394,1.0,0.0457,1.0,0.004752
122,28,561,44.266,109.952,1.0,0.0241,1.0,0.002502
122,43,1353,13.989,73.407,1.0,0.0114,1.0,0.001184
122,57,447,55.543,86.938,1.0,0.0382,1.0,0.00397
122,49,480,35.477,136.986,1.0,0.0155,1.0,0.00161
122,17,1361,62.897,124.78,1.0,0.0301,1.0,0.003133
122,48,1450,43.51,103.875,1.0,0.0251,1.0,0.002603
122,79,3472,66.953,48.196,1.0,0.0831,1.0,0.008634
122,75,963,88.751,27.893,1.0,0.1903,1.0,0.019775
122,55,1776,70.685,67.685,1.0,0.0625,1.0,0.00649
122,83,4357,86.657,76.579,1.0,0.0677,1.0,0.007033
122,44,2221,65.392,30.426,1.0,0.1285,1.0,0.013357
122,38,1345,76.284,7.671,1.0,0.5948,1.0,0.061805
122,59,1909,94.918,57.116,1.0,0.0994,1.0,0.010328
122,40,367,99.787,128.944,1.0,0.0463,1.0,0.004809
122,21,424,60.407,148.878,1.0,0.0243,1.0,0.002522
122,90,1178,22.834,121.677,1.0,0.0112,1.0,0.001166
122,33,722,29.196,27.204,1.0,0.0642,1.0,0.00667
122,19,411,43.694,116.931,1.0,0.0223,1.0,0.002322
122,65,312,68.368,74.265,1.0,0.0551,1.0,0.005721
122,64,1386,98.417,10.858,1.0,0.5421,1.0,0.05633
122,13,128,84.903,131.244,1.0,0.0387,1.0,0.00402
122,97,376,47.509,88.82,1.0,0.032,1.0,0.003324
122,11,2133,11.001,109.242,1.0,0.006,1.0,0.000626
122,50,519,64.078,15.999,1.0,0.2395,1.0,0.024892
122,16,335,37.811,132.576,1.0,0.0171,1.0,0.001772
122,42,226,75.889,135.53,1.0,0.0335,1.0,0.00348
122,92,1459,97.163,78.118,1.0,0.0744,1.0,0.00773
122,30,590,85.405,5.968,1.0,0.8559,1.0,0.088938
122,54,328,75.625,111.414,1.0,0.0406,1.0,0.004218
122,66,366,87.039,96.68,1.0,0.0538,1.0,0.005595
