round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
92,2.267949,0.000957,0.000957,0.000957,0.000957,0.000144,0.138457,0.000287,1e-06,0.000957,2e-06
93,2.267086,0.000954,0.000954,0.000954,0.000954,0.000144,0.139599,0.000288,1e-06,0.000954,2e-06
94,2.272058,0.000946,0.000946,0.000946,0.000946,0.000143,0.137859,0.000286,1e-06,0.000946,2e-06
95,2.279628,0.00093,0.00093,0.00093,0.00093,0.000139,0.12967,0.000277,1e-06,0.00093,2e-06
96,2.273681,0.000864,0.000864,0.000864,0.000864,0.00012,0.095405,0.00024,1e-06,0.000864,2e-06
97,2.26724,0.000861,0.000861,0.000861,0.000861,0.000118,0.093026,0.000237,1e-06,0.000861,2e-06
98,2.267166,0.000869,0.000869,0.000869,0.000869,0.000118,0.093779,0.000235,1e-06,0.000869,2e-06
99,2.253717,0.000881,0.000881,0.000881,0.000881,0.000112,0.089317,0.000223,1e-06,0.000881,2e-06
100,2.266351,0.000914,0.000914,0.000914,0.000914,0.000106,0.087155,0.000211,1e-06,0.000914,2e-06
101,2.250811,0.000968,0.000968,0.000968,0.000968,0.000105,0.092175,0.000209,1e-06,0.000968,2e-06
102,2.274074,0.000965,0.000965,0.000965,0.000965,9.8e-05,0.090909,0.000197,1e-06,0.000965,2e-06
103,2.265421,0.000965,0.000965,0.000965,0.000965,9.4e-05,0.090909,0.000187,1e-06,0.000965,2e-06
104,2.287785,0.000965,0.000965,0.000965,0.000965,9e-05,0.090909,0.00018,1e-06,0.000965,2e-06
105,2.27846,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000176,1e-06,0.000965,2e-06
106,2.301137,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
107,2.295383,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
108,2.314901,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
109,2.327404,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
110,2.313916,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
111,2.345959,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
112,2.348276,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
113,2.348473,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
114,2.350452,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
115,2.346061,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
116,2.34927,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
117,2.34749,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
118,2.360135,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
119,2.359917,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
120,2.371142,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
121,2.369985,0.000965,0.000965,0.000965,0.000965,8.8e-05,0.090909,0.000175,1e-06,0.000965,2e-06
