round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
62,12,54,30.021,80.194,1.0,0.0224,1.0,0.003191
62,47,276,61.82,116.641,1.0,0.0317,1.0,0.004517
62,1,70,68.707,11.347,1.0,0.3621,1.0,0.051605
62,6,350,44.893,91.387,1.0,0.0294,1.0,0.004187
62,42,122,75.889,135.53,1.0,0.0335,1.0,0.004772
62,26,107,53.593,128.007,1.0,0.025,1.0,0.003568
62,49,1050,35.477,136.986,1.0,0.0155,1.0,0.002207
62,55,517,70.685,67.685,1.0,0.0625,1.0,0.008901
62,30,943,85.405,5.968,1.0,0.8559,1.0,0.121969
62,36,259,47.698,137.695,1.0,0.0207,1.0,0.002952
62,64,1469,98.417,10.858,1.0,0.5421,1.0,0.077251
62,25,672,47.29,23.406,1.0,0.1208,1.0,0.01722
62,32,221,90.494,80.505,1.0,0.0672,1.0,0.00958
62,67,412,58.937,127.004,1.0,0.0278,1.0,0.003955
62,29,426,32.807,81.493,1.0,0.0241,1.0,0.003431
62,44,74,65.392,30.426,1.0,0.1285,1.0,0.018317
62,37,52,92.764,15.385,1.0,0.3606,1.0,0.051388
62,61,700,38.141,37.526,1.0,0.0608,1.0,0.008663
62,17,290,62.897,124.78,1.0,0.0301,1.0,0.004296
62,7,41,42.657,91.017,1.0,0.028,1.0,0.003994
62,56,579,94.929,128.443,1.0,0.0442,1.0,0.006299
62,54,418,75.625,111.414,1.0,0.0406,1.0,0.005785
62,11,679,11.001,109.242,1.0,0.006,1.0,0.000858
62,4,55,91.504,16.198,1.0,0.3379,1.0,0.048147
62,35,349,80.734,84.92,1.0,0.0569,1.0,0.008103
62,8,464,80.868,125.882,1.0,0.0384,1.0,0.005475
62,41,121,38.477,11.468,1.0,0.2007,1.0,0.028597
62,28,126,44.266,109.952,1.0,0.0241,1.0,0.003431
62,16,851,37.811,132.576,1.0,0.0171,1.0,0.002431
62,22,74,94.914,80.884,1.0,0.0702,1.0,0.010001
62,52,287,31.57,119.36,1.0,0.0158,1.0,0.002254
62,0,1546,79.656,68.637,1.0,0.0694,1.0,0.009891
62,58,388,85.148,91.5,1.0,0.0557,1.0,0.007931
62,19,565,43.694,116.931,1.0,0.0223,1.0,0.003185
62,69,225,23.83,29.549,1.0,0.0482,1.0,0.006873
62,50,813,64.078,15.999,1.0,0.2395,1.0,0.034136
62,48,905,43.51,103.875,1.0,0.0251,1.0,0.00357
62,65,412,68.368,74.265,1.0,0.0551,1.0,0.007846
62,5,330,76.762,114.282,1.0,0.0402,1.0,0.005725
62,33,324,29.196,27.204,1.0,0.0642,1.0,0.009147
62,20,301,64.839,113.427,1.0,0.0342,1.0,0.004872
62,51,262,98.694,83.761,1.0,0.0705,1.0,0.010042
62,34,252,82.57,147.901,1.0,0.0334,1.0,0.004758
62,63,251,67.438,148.762,1.0,0.0271,1.0,0.003864
62,31,133,54.337,48.988,1.0,0.0663,1.0,0.009453
62,10,1456,65.419,88.263,1.0,0.0443,1.0,0.006317
62,13,856,84.903,131.244,1.0,0.0387,1.0,0.005514
62,27,352,62.234,81.394,1.0,0.0457,1.0,0.006517
62,66,410,87.039,96.68,1.0,0.0538,1.0,0.007673
62,39,201,49.07,35.686,1.0,0.0822,1.0,0.011719
62,21,319,60.407,148.878,1.0,0.0243,1.0,0.003458
62,15,4958,71.575,72.905,1.0,0.0587,1.0,0.008367
62,2,357,21.031,42.426,1.0,0.0296,1.0,0.004225
62,45,415,61.368,118.613,1.0,0.0309,1.0,0.00441
62,23,342,14.265,80.142,1.0,0.0106,1.0,0.001517
62,14,643,75.351,7.451,1.0,0.6048,1.0,0.086192
62,24,508,93.136,105.459,1.0,0.0528,1.0,0.007527
62,46,910,28.562,106.962,1.0,0.016,1.0,0.002276
62,38,584,76.284,7.671,1.0,0.5948,1.0,0.084759
62,59,1597,94.918,57.116,1.0,0.0994,1.0,0.014164
62,40,224,99.787,128.944,1.0,0.0463,1.0,0.006596
62,9,492,94.82,49.535,1.0,0.1145,1.0,0.016314
62,68,802,93.744,79.303,1.0,0.0707,1.0,0.010075
62,62,732,85.471,105.361,1.0,0.0485,1.0,0.006914
62,60,184,24.399,89.962,1.0,0.0162,1.0,0.002312
62,57,156,55.543,86.938,1.0,0.0382,1.0,0.005445
62,3,95,61.582,81.631,1.0,0.0451,1.0,0.00643
62,53,133,58.731,137.43,1.0,0.0256,1.0,0.003642
62,18,662,39.186,8.936,1.0,0.2623,1.0,0.037373
62,43,337,13.989,73.407,1.0,0.0114,1.0,0.001624
63,1,70,68.707,11.347,1.0,0.3621,1.0,0.051605
63,16,851,37.811,132.576,1.0,0.0171,1.0,0.002431
63,50,813,64.078,15.999,1.0,0.2395,1.0,0.034136
63,30,943,85.405,5.968,1.0,0.8559,1.0,0.121969
63,49,1050,35.477,136.986,1.0,0.0155,1.0,0.002207
63,68,802,93.744,79.303,1.0,0.0707,1.0,0.010075
63,66,410,87.039,96.68,1.0,0.0538,1.0,0.007673
63,23,342,14.265,80.142,1.0,0.0106,1.0,0.001517
63,62,732,85.471,105.361,1.0,0.0485,1.0,0.006914
63,15,4958,71.575,72.905,1.0,0.0587,1.0,0.008367
63,56,579,94.929,128.443,1.0,0.0442,1.0,0.006299
63,24,508,93.136,105.459,1.0,0.0528,1.0,0.007527
63,60,184,24.399,89.962,1.0,0.0162,1.0,0.002312
63,13,856,84.903,131.244,1.0,0.0387,1.0,0.005514
63,57,156,55.543,86.938,1.0,0.0382,1.0,0.005445
63,12,54,30.021,80.194,1.0,0.0224,1.0,0.003191
63,52,287,31.57,119.36,1.0,0.0158,1.0,0.002254
63,27,352,62.234,81.394,1.0,0.0457,1.0,0.006517
63,8,464,80.868,125.882,1.0,0.0384,1.0,0.005475
63,40,224,99.787,128.944,1.0,0.0463,1.0,0.006596
63,37,52,92.764,15.385,1.0,0.3606,1.0,0.051388
63,17,290,62.897,124.78,1.0,0.0301,1.0,0.004296
63,59,1597,94.918,57.116,1.0,0.0994,1.0,0.014164
63,69,225,23.83,29.549,1.0,0.0482,1.0,0.006873
63,31,133,54.337,48.988,1.0,0.0663,1.0,0.009453
63,29,426,32.807,81.493,1.0,0.0241,1.0,0.003431
63,9,492,94.82,49.535,1.0,0.1145,1.0,0.016314
63,48,905,43.51,103.875,1.0,0.0251,1.0,0.00357
63,0,1546,79.656,68.637,1.0,0.0694,1.0,0.009891
