round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,0.198047,0.99354,0.99354,0.99354,0.99354,0.16559,0.166667,0.166127,0.987121,0.99354,0.99032
32,0.740237,0.99354,0.99354,0.99354,0.99354,0.16559,0.166667,0.166127,0.987121,0.99354,0.99032
33,1.241496,0.981373,0.981373,0.981373,0.981373,0.165599,0.164626,0.165111,0.987174,0.981373,0.984265
34,1.655128,0.912281,0.912281,0.912281,0.912281,0.165525,0.153035,0.159036,0.986735,0.912281,0.948049
35,1.905707,0.934806,0.934806,0.934806,0.934806,0.16619,0.167454,0.16223,0.986995,0.934806,0.960093
36,2.019592,0.561805,0.561805,0.561805,0.561805,0.165962,0.217403,0.120849,0.98661,0.561805,0.714978
37,2.014338,0.003046,0.003046,0.003046,0.003046,0.166921,0.166896,0.001018,0.99346,0.003046,0.002885
38,2.028383,0.001604,0.001604,0.001604,0.001604,0.166934,0.166667,0.000534,0.993542,0.001604,5e-06
39,2.041368,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
40,2.067892,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
41,2.118478,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
42,2.21108,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
43,2.334162,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
44,2.451639,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
45,2.560094,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
46,2.682501,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
47,2.817657,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
48,2.946924,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
49,3.079526,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
50,3.194099,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
51,3.287581,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
52,3.37321,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
53,3.491125,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
54,3.573755,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
55,3.645763,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
56,3.741465,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
58,3.853183,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
59,3.864207,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
60,3.902021,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
61,3.924726,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
