round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
121,6,331,44.893,91.387,1.0,0.0294,1.0,0.003053
121,67,333,58.937,127.004,1.0,0.0278,1.0,0.002884
121,19,411,43.694,116.931,1.0,0.0223,1.0,0.002322
121,28,561,44.266,109.952,1.0,0.0241,1.0,0.002502
121,69,2603,23.83,29.549,1.0,0.0482,1.0,0.005012
121,68,468,93.744,79.303,1.0,0.0707,1.0,0.007346
121,83,4357,86.657,76.579,1.0,0.0677,1.0,0.007033
121,93,130,59.341,45.709,1.0,0.0776,1.0,0.008068
121,87,1334,44.588,38.916,1.0,0.0685,1.0,0.007121
121,26,1079,53.593,128.007,1.0,0.025,1.0,0.002602
121,10,1009,65.419,88.263,1.0,0.0443,1.0,0.004606
121,74,508,25.513,132.154,1.0,0.0115,1.0,0.0012
121,97,376,47.509,88.82,1.0,0.032,1.0,0.003324
121,44,2221,65.392,30.426,1.0,0.1285,1.0,0.013357
121,54,328,75.625,111.414,1.0,0.0406,1.0,0.004218
121,25,132,47.29,23.406,1.0,0.1208,1.0,0.012556
121,63,2751,67.438,148.762,1.0,0.0271,1.0,0.002817
121,9,545,94.82,49.535,1.0,0.1145,1.0,0.011896
121,31,874,54.337,48.988,1.0,0.0663,1.0,0.006893
121,43,1353,13.989,73.407,1.0,0.0114,1.0,0.001184
121,86,1201,69.326,73.457,1.0,0.0564,1.0,0.005865
121,35,683,80.734,84.92,1.0,0.0569,1.0,0.005908
121,12,209,30.021,80.194,1.0,0.0224,1.0,0.002326
121,40,367,99.787,128.944,1.0,0.0463,1.0,0.004809
121,96,4682,61.581,118.886,1.0,0.031,1.0,0.003219
121,99,639,76.267,149.618,1.0,0.0305,1.0,0.003168
121,66,366,87.039,96.68,1.0,0.0538,1.0,0.005595
121,27,600,62.234,81.394,1.0,0.0457,1.0,0.004752
121,13,128,84.903,131.244,1.0,0.0387,1.0,0.00402
121,91,3278,97.764,79.27,1.0,0.0738,1.0,0.007665
121,51,179,98.694,83.761,1.0,0.0705,1.0,0.007323
121,29,3113,32.807,81.493,1.0,0.0241,1.0,0.002502
121,64,1386,98.417,10.858,1.0,0.5421,1.0,0.05633
121,52,546,31.57,119.36,1.0,0.0158,1.0,0.001644
121,81,3468,71.412,12.804,1.0,0.3336,1.0,0.034661
121,42,226,75.889,135.53,1.0,0.0335,1.0,0.00348
121,58,2874,85.148,91.5,1.0,0.0557,1.0,0.005783
121,24,1188,93.136,105.459,1.0,0.0528,1.0,0.005489
121,15,751,71.575,72.905,1.0,0.0587,1.0,0.006101
121,34,171,82.57,147.901,1.0,0.0334,1.0,0.00347
121,76,458,93.762,140.946,1.0,0.0398,1.0,0.004134
121,59,1909,94.918,57.116,1.0,0.0994,1.0,0.010328
121,48,1450,43.51,103.875,1.0,0.0251,1.0,0.002603
121,30,590,85.405,5.968,1.0,0.8559,1.0,0.088938
121,2,12078,21.031,42.426,1.0,0.0296,1.0,0.003081
121,36,638,47.698,137.695,1.0,0.0207,1.0,0.002153
121,11,2133,11.001,109.242,1.0,0.006,1.0,0.000626
121,88,484,50.795,16.315,1.0,0.1862,1.0,0.019349
121,92,1459,97.163,78.118,1.0,0.0744,1.0,0.00773
121,75,963,88.751,27.893,1.0,0.1903,1.0,0.019775
121,1,783,68.707,11.347,1.0,0.3621,1.0,0.037629
121,7,601,42.657,91.017,1.0,0.028,1.0,0.002913
121,70,1801,20.481,127.402,1.0,0.0096,1.0,0.000999
121,39,298,49.07,35.686,1.0,0.0822,1.0,0.008546
121,85,1300,15.622,35.397,1.0,0.0264,1.0,0.002743
121,0,1844,79.656,68.637,1.0,0.0694,1.0,0.007212
121,71,2037,16.352,26.876,1.0,0.0364,1.0,0.003781
121,80,694,84.282,30.465,1.0,0.1655,1.0,0.017193
121,14,1317,75.351,7.451,1.0,0.6048,1.0,0.06285
121,8,431,80.868,125.882,1.0,0.0384,1.0,0.003992
121,33,722,29.196,27.204,1.0,0.0642,1.0,0.00667
121,46,380,28.562,106.962,1.0,0.016,1.0,0.00166
121,84,808,10.556,141.555,1.0,0.0045,1.0,0.000463
121,82,741,80.673,118.95,1.0,0.0406,1.0,0.004215
121,16,335,37.811,132.576,1.0,0.0171,1.0,0.001772
121,22,283,94.914,80.884,1.0,0.0702,1.0,0.007293
121,37,457,92.764,15.385,1.0,0.3606,1.0,0.037471
121,20,709,64.839,113.427,1.0,0.0342,1.0,0.003553
121,98,359,70.086,95.096,1.0,0.0441,1.0,0.00458
121,17,1361,62.897,124.78,1.0,0.0301,1.0,0.003133
121,65,312,68.368,74.265,1.0,0.0551,1.0,0.005721
121,57,447,55.543,86.938,1.0,0.0382,1.0,0.00397
121,23,1483,14.265,80.142,1.0,0.0106,1.0,0.001106
121,56,2557,94.929,128.443,1.0,0.0442,1.0,0.004593
121,49,480,35.477,136.986,1.0,0.0155,1.0,0.00161
121,94,539,21.47,15.183,1.0,0.0846,1.0,0.008788
121,5,397,76.762,114.282,1.0,0.0402,1.0,0.004174
121,62,1852,85.471,105.361,1.0,0.0485,1.0,0.005042
121,78,1113,86.837,13.275,1.0,0.3912,1.0,0.040653
121,50,519,64.078,15.999,1.0,0.2395,1.0,0.024892
121,73,313,73.21,92.538,1.0,0.0473,1.0,0.004917
121,95,1166,87.236,44.882,1.0,0.1162,1.0,0.01208
121,89,2871,68.182,92.167,1.0,0.0442,1.0,0.004597
121,38,1345,76.284,7.671,1.0,0.5948,1.0,0.061805
121,55,1776,70.685,67.685,1.0,0.0625,1.0,0.00649
121,53,2420,58.731,137.43,1.0,0.0256,1.0,0.002656
121,90,1178,22.834,121.677,1.0,0.0112,1.0,0.001166
121,77,743,96.062,111.156,1.0,0.0517,1.0,0.005371
121,41,1043,38.477,11.468,1.0,0.2007,1.0,0.020852
121,18,2841,39.186,8.936,1.0,0.2623,1.0,0.027252
121,21,424,60.407,148.878,1.0,0.0243,1.0,0.002522
121,4,163,91.504,16.198,1.0,0.3379,1.0,0.035108
121,61,1475,38.141,37.526,1.0,0.0608,1.0,0.006317
