round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,0.198048,0.99354,0.99354,0.99354,0.99354,0.16559,0.166667,0.166127,0.987121,0.99354,0.99032
32,0.743052,0.99354,0.99354,0.99354,0.99354,0.16559,0.166667,0.166127,0.987121,0.99354,0.99032
33,1.244657,0.978091,0.978091,0.978091,0.978091,0.165597,0.164075,0.164833,0.987164,0.978091,0.982607
34,1.659789,0.910779,0.910779,0.910779,0.910779,0.165547,0.153429,0.158948,0.986707,0.910779,0.947217
35,1.908798,0.93752,0.93752,0.93752,0.93752,0.165958,0.163823,0.162054,0.986914,0.93752,0.961523
36,2.013505,0.637556,0.637556,0.637556,0.637556,0.165948,0.214168,0.130756,0.986384,0.637556,0.77375
37,2.005652,0.004717,0.004717,0.004717,0.004717,0.166895,0.167112,0.001577,0.993307,0.004717,0.006214
38,2.000891,0.001606,0.001606,0.001606,0.001606,0.166934,0.166667,0.000534,0.993542,0.001606,9e-06
39,2.007297,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
40,2.036235,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
41,2.078027,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
42,2.158033,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
43,2.252642,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
44,2.374672,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
45,2.479748,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
46,2.60747,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
47,2.724452,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
48,2.840326,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
49,2.95749,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
50,3.098538,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
51,3.202244,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
52,3.29,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
53,3.386113,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
54,3.44894,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
55,3.538154,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
56,3.598991,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
57,3.657419,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
58,3.712743,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
59,3.765929,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
60,3.782184,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
