round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
61,27,352,62.234,81.394,1.0,0.0457,1.0,0.006517
61,39,201,49.07,35.686,1.0,0.0822,1.0,0.011719
61,25,672,47.29,23.406,1.0,0.1208,1.0,0.01722
61,49,1050,35.477,136.986,1.0,0.0155,1.0,0.002207
61,45,415,61.368,118.613,1.0,0.0309,1.0,0.00441
61,8,464,80.868,125.882,1.0,0.0384,1.0,0.005475
61,37,52,92.764,15.385,1.0,0.3606,1.0,0.051388
61,34,252,82.57,147.901,1.0,0.0334,1.0,0.004758
61,52,287,31.57,119.36,1.0,0.0158,1.0,0.002254
61,14,643,75.351,7.451,1.0,0.6048,1.0,0.086192
61,13,856,84.903,131.244,1.0,0.0387,1.0,0.005514
61,10,1456,65.419,88.263,1.0,0.0443,1.0,0.006317
61,20,301,64.839,113.427,1.0,0.0342,1.0,0.004872
61,29,426,32.807,81.493,1.0,0.0241,1.0,0.003431
61,28,126,44.266,109.952,1.0,0.0241,1.0,0.003431
61,35,349,80.734,84.92,1.0,0.0569,1.0,0.008103
61,61,700,38.141,37.526,1.0,0.0608,1.0,0.008663
61,48,905,43.51,103.875,1.0,0.0251,1.0,0.00357
61,63,251,67.438,148.762,1.0,0.0271,1.0,0.003864
61,47,276,61.82,116.641,1.0,0.0317,1.0,0.004517
61,15,4958,71.575,72.905,1.0,0.0587,1.0,0.008367
61,64,1469,98.417,10.858,1.0,0.5421,1.0,0.077251
61,69,225,23.83,29.549,1.0,0.0482,1.0,0.006873
61,9,492,94.82,49.535,1.0,0.1145,1.0,0.016314
61,58,388,85.148,91.5,1.0,0.0557,1.0,0.007931
61,30,943,85.405,5.968,1.0,0.8559,1.0,0.121969
61,44,74,65.392,30.426,1.0,0.1285,1.0,0.018317
61,68,802,93.744,79.303,1.0,0.0707,1.0,0.010075
61,19,565,43.694,116.931,1.0,0.0223,1.0,0.003185
61,2,357,21.031,42.426,1.0,0.0296,1.0,0.004225
61,18,662,39.186,8.936,1.0,0.2623,1.0,0.037373
61,17,290,62.897,124.78,1.0,0.0301,1.0,0.004296
61,4,55,91.504,16.198,1.0,0.3379,1.0,0.048147
61,59,1597,94.918,57.116,1.0,0.0994,1.0,0.014164
61,32,221,90.494,80.505,1.0,0.0672,1.0,0.00958
61,54,418,75.625,111.414,1.0,0.0406,1.0,0.005785
61,31,133,54.337,48.988,1.0,0.0663,1.0,0.009453
61,21,319,60.407,148.878,1.0,0.0243,1.0,0.003458
61,56,579,94.929,128.443,1.0,0.0442,1.0,0.006299
61,65,412,68.368,74.265,1.0,0.0551,1.0,0.007846
61,24,508,93.136,105.459,1.0,0.0528,1.0,0.007527
61,60,184,24.399,89.962,1.0,0.0162,1.0,0.002312
61,53,133,58.731,137.43,1.0,0.0256,1.0,0.003642
61,40,224,99.787,128.944,1.0,0.0463,1.0,0.006596
61,42,122,75.889,135.53,1.0,0.0335,1.0,0.004772
