true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed,speed-accessory,standstill,systematic,triple
Benign,0,0,0,0,6821861,34878731,0,0,0,0,0,0,0
DoS,0,0,0,0,74296,70833,0,0,0,0,0,0,0
double,0,0,0,0,1816,10597,0,0,0,0,0,0,0
force-neutral,0,0,0,0,0,5744,0,0,0,0,0,0,0
fuzzing,0,0,0,0,6166,61155,0,0,0,0,0,0,0
interval,0,0,0,0,3391,37151,0,0,0,0,0,0,0
rpm,0,0,0,0,0,5043,0,0,0,0,0,0,0
rpm-accessory,0,0,0,0,14,3132,0,0,0,0,0,0,0
speed,0,0,0,0,1149,6322,0,0,0,0,0,0,0
speed-accessory,0,0,0,0,1,2256,0,0,0,0,0,0,0
standstill,0,0,0,0,2074,3665,0,0,0,0,0,0,0
systematic,0,0,0,0,1748,18043,0,0,0,0,0,0,0
triple,0,0,0,0,4289,29206,0,0,0,0,0,0,0
