true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed,speed-accessory,standstill,systematic,triple
Benign,0.000000,0.000000,0.000000,0.000000,0.163591,0.836409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS,0.000000,0.000000,0.000000,0.000000,0.511931,0.488069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
double,0.000000,0.000000,0.000000,0.000000,0.146298,0.853702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
force-neutral,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fuzzing,0.000000,0.000000,0.000000,0.000000,0.091591,0.908409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
interval,0.000000,0.000000,0.000000,0.000000,0.083642,0.916358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rpm,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rpm-accessory,0.000000,0.000000,0.000000,0.000000,0.004450,0.995550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
speed,0.000000,0.000000,0.000000,0.000000,0.153795,0.846205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
speed-accessory,0.000000,0.000000,0.000000,0.000000,0.000443,0.999557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
standstill,0.000000,0.000000,0.000000,0.000000,0.361387,0.638613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
systematic,0.000000,0.000000,0.000000,0.000000,0.088323,0.911677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
triple,0.000000,0.000000,0.000000,0.000000,0.128049,0.871951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
