round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,0.196764,0.99354,0.99354,0.99354,0.99354,0.16559,0.166667,0.166127,0.987121,0.99354,0.99032
32,0.743426,0.99354,0.99354,0.99354,0.99354,0.16559,0.166667,0.166127,0.987121,0.99354,0.99032
33,1.239961,0.984551,0.984551,0.984551,0.984551,0.165602,0.165159,0.16538,0.98719,0.984551,0.985869
34,1.662323,0.914509,0.914509,0.914509,0.914509,0.165527,0.153409,0.159238,0.986747,0.914509,0.949256
35,1.914171,0.894623,0.894623,0.894623,0.894623,0.16618,0.168013,0.158607,0.986933,0.894623,0.938328
36,2.019436,0.572444,0.572444,0.572444,0.572444,0.165861,0.215807,0.122265,0.986022,0.572444,0.723439
37,2.017093,0.003687,0.003687,0.003687,0.003687,0.16691,0.166984,0.001232,0.993395,0.003687,0.004162
38,2.029854,0.001605,0.001605,0.001605,0.001605,0.166934,0.166667,0.000534,0.993542,0.001605,6e-06
39,2.040674,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
40,2.069328,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
41,2.124762,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
42,2.221948,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
43,2.342134,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
44,2.455058,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
45,2.586389,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
46,2.678752,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
47,2.807885,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
48,2.916789,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
49,3.074118,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
50,3.182871,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
51,3.311294,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
52,3.408335,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
53,3.507114,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
54,3.618172,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
55,3.684269,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
56,3.757258,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
57,3.85748,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
58,3.88453,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
59,3.920534,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
60,3.967178,0.001604,0.001604,0.001604,0.001604,0.000267,0.166667,0.000534,3e-06,0.001604,5e-06
