round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
1,40,49,99.787,128.944,1.0,0.0463,1.0,0.00989
1,10,21037,65.419,88.263,1.0,0.0443,1.0,0.009472
1,16,253878,37.811,132.576,1.0,0.0171,1.0,0.003645
1,47,104806,61.82,116.641,1.0,0.0317,1.0,0.006773
1,28,321139,44.266,109.952,1.0,0.0241,1.0,0.005145
1,22,622096,94.914,80.884,1.0,0.0702,1.0,0.014997
1,27,486155,62.234,81.394,1.0,0.0457,1.0,0.009772
1,20,59152,64.839,113.427,1.0,0.0342,1.0,0.007305
1,7,217758,42.657,91.017,1.0,0.028,1.0,0.00599
1,11,24281,11.001,109.242,1.0,0.006,1.0,0.001287
1,38,364721,76.284,7.671,1.0,0.5948,1.0,0.127094
1,3,577543,61.582,81.631,1.0,0.0451,1.0,0.009641
1,25,309246,47.29,23.406,1.0,0.1208,1.0,0.025821
1,12,118960,30.021,80.194,1.0,0.0224,1.0,0.004784
1,32,6864,90.494,80.505,1.0,0.0672,1.0,0.014366
1,21,501546,60.407,148.878,1.0,0.0243,1.0,0.005185
1,24,274150,93.136,105.459,1.0,0.0528,1.0,0.011287
1,35,20246,80.734,84.92,1.0,0.0569,1.0,0.01215
1,4,86060,91.504,16.198,1.0,0.3379,1.0,0.072196
1,37,2221,92.764,15.385,1.0,0.3606,1.0,0.077055
1,15,15775,71.575,72.905,1.0,0.0587,1.0,0.012547
1,30,407816,85.405,5.968,1.0,0.8559,1.0,0.18289
1,43,257936,13.989,73.407,1.0,0.0114,1.0,0.002435
1,45,5374,61.368,118.613,1.0,0.0309,1.0,0.006612
1,2,177571,21.031,42.426,1.0,0.0296,1.0,0.006335
1,23,151986,14.265,80.142,1.0,0.0106,1.0,0.002275
1,42,72933,75.889,135.53,1.0,0.0335,1.0,0.007156
1,36,2853,47.698,137.695,1.0,0.0207,1.0,0.004427
1,13,122016,84.903,131.244,1.0,0.0387,1.0,0.008267
1,49,275576,35.477,136.986,1.0,0.0155,1.0,0.00331
1,26,386335,53.593,128.007,1.0,0.025,1.0,0.005351
1,8,130889,80.868,125.882,1.0,0.0384,1.0,0.00821
1,6,281714,44.893,91.387,1.0,0.0294,1.0,0.006278
1,39,6497,49.07,35.686,1.0,0.0822,1.0,0.017573
1,19,560031,43.694,116.931,1.0,0.0223,1.0,0.004775
1,1,144412,68.707,11.347,1.0,0.3621,1.0,0.07738
1,0,199476,79.656,68.637,1.0,0.0694,1.0,0.014832
1,44,16115,65.392,30.426,1.0,0.1285,1.0,0.027466
1,9,36942,94.82,49.535,1.0,0.1145,1.0,0.024463
1,46,169758,28.562,106.962,1.0,0.016,1.0,0.003413
1,33,329038,29.196,27.204,1.0,0.0642,1.0,0.013716
1,18,33626,39.186,8.936,1.0,0.2623,1.0,0.05604
1,34,68074,82.57,147.901,1.0,0.0334,1.0,0.007135
1,41,135301,38.477,11.468,1.0,0.2007,1.0,0.04288
1,17,219229,62.897,124.78,1.0,0.0301,1.0,0.006442
1,48,81137,43.51,103.875,1.0,0.0251,1.0,0.005353
1,5,596814,76.762,114.282,1.0,0.0402,1.0,0.008584
2,11,24281,11.001,109.242,1.0,0.006,1.0,0.001287
2,4,86060,91.504,16.198,1.0,0.3379,1.0,0.072196
2,45,5374,61.368,118.613,1.0,0.0309,1.0,0.006612
2,44,16115,65.392,30.426,1.0,0.1285,1.0,0.027466
2,1,144412,68.707,11.347,1.0,0.3621,1.0,0.07738
2,46,169758,28.562,106.962,1.0,0.016,1.0,0.003413
2,17,219229,62.897,124.78,1.0,0.0301,1.0,0.006442
2,30,407816,85.405,5.968,1.0,0.8559,1.0,0.18289
2,18,33626,39.186,8.936,1.0,0.2623,1.0,0.05604
2,0,199476,79.656,68.637,1.0,0.0694,1.0,0.014832
2,35,20246,80.734,84.92,1.0,0.0569,1.0,0.01215
2,34,68074,82.57,147.901,1.0,0.0334,1.0,0.007135
2,25,309246,47.29,23.406,1.0,0.1208,1.0,0.025821
2,5,596814,76.762,114.282,1.0,0.0402,1.0,0.008584
2,12,118960,30.021,80.194,1.0,0.0224,1.0,0.004784
2,19,560031,43.694,116.931,1.0,0.0223,1.0,0.004775
2,33,329038,29.196,27.204,1.0,0.0642,1.0,0.013716
2,16,253878,37.811,132.576,1.0,0.0171,1.0,0.003645
2,42,72933,75.889,135.53,1.0,0.0335,1.0,0.007156
2,49,275576,35.477,136.986,1.0,0.0155,1.0,0.00331
2,2,177571,21.031,42.426,1.0,0.0296,1.0,0.006335
2,40,49,99.787,128.944,1.0,0.0463,1.0,0.00989
2,26,386335,53.593,128.007,1.0,0.025,1.0,0.005351
2,24,274150,93.136,105.459,1.0,0.0528,1.0,0.011287
2,36,2853,47.698,137.695,1.0,0.0207,1.0,0.004427
2,6,281714,44.893,91.387,1.0,0.0294,1.0,0.006278
2,22,622096,94.914,80.884,1.0,0.0702,1.0,0.014997
2,8,130889,80.868,125.882,1.0,0.0384,1.0,0.00821
2,21,501546,60.407,148.878,1.0,0.0243,1.0,0.005185
2,48,81137,43.51,103.875,1.0,0.0251,1.0,0.005353
2,47,104806,61.82,116.641,1.0,0.0317,1.0,0.006773
2,39,6497,49.07,35.686,1.0,0.0822,1.0,0.017573
2,27,486155,62.234,81.394,1.0,0.0457,1.0,0.009772
2,37,2221,92.764,15.385,1.0,0.3606,1.0,0.077055
2,20,59152,64.839,113.427,1.0,0.0342,1.0,0.007305
2,3,577543,61.582,81.631,1.0,0.0451,1.0,0.009641
2,7,217758,42.657,91.017,1.0,0.028,1.0,0.00599
2,41,135301,38.477,11.468,1.0,0.2007,1.0,0.04288
2,15,15775,71.575,72.905,1.0,0.0587,1.0,0.012547
2,23,151986,14.265,80.142,1.0,0.0106,1.0,0.002275
2,10,21037,65.419,88.263,1.0,0.0443,1.0,0.009472
